Name	Address	
Our Saviour Lutheran Church Food Bank, 2705 Islington Avenue Toronto ON,43.7413592886058,-79.56609500345108
Oasis Dufferin Community Centre, 1219 Dufferin Street Toronto ON,43.66616231989586,-79.43764380345499
Mount Olive Food Bank, 1030 Albion Road Toronto ON,43.76232289914296,-79.30156146112189
Meadowvale East Food Bank, 1510 Warden Ave Toronto ON,43.76233455057887,-79.30164770530169
Malvern Food Bank, 20 Sewells Road Toronto ON,43.807653413755816,-79.21730100529932
The Lighthouse, 1008 Bathurst Street Toronto ON,43.67075083339725,-79.41370288996256
Haven on the Queensway, 1533 The Queensway Toronto ON,43.618319436800995,-79.53706685927767
Grant AME Food Bank, 2029 Gerrard St. E Toronto ON,43.68164287626698,-79.30842496112608
West Hill Community Food Bank, 4205 Lawrence Avenue East Toronto ON,43.76789768428133,-79.18537104762946
Food Pantry at Morningside, 90 Mornelle Court Toronto ON,43.78768241871857,-79.19601953043306
VP and Sheppard Food Bank, 2743 Victoria Park Ave Toronto ON,43.779135600328516,-79.32342528995699
New Toronto Street Food Bank, 191 New Toronto Street Toronto ON,43.60653954706379,-79.50399941880181
Christ Church St James Food Pantry, 194 Park Lawn Road Toronto ON,43.629872005446366,-79.49107730160517
Bluffs Food Bank, 33 East Road Toronto ON,43.68809398737949,-79.27152631694598
Agincourt Pentecostal Church Food Bank, 2885 Kennedy Road Toronto ON,43.802722497931995,-79.29702032249507
Agincourt Community Services Association. Dorset Park Community Hub, 1911 Kennedy Road Unit 105 Toronto ON,43.76727051899031,-79.28087564577783
St. Ann's Food Bank, 120 First Ave Toronto ON,43.66589750508676,-79.34812798996283
Friend of Jesus Christ Food Bank, 1420 Victoria Park Ave Toronto ON,43.72143656346196,-79.30246157461613
Nourish East End, 1470 Gerrard St East Toronto ON,43.67274730983992,-79.32083336297823
Thorncliffe Food Bank, 5B-1 Leaside Park Dr Toronto ON,43.702584346067006,-79.351526861125
Eastview Community Centre, 86 Blake St Toronto ON,43.67504651128346,-79.33975041694663
Bethany Baptist Church, 1041 Pape Avenue Toronto ON,43.689424904533254,-79.34847968982294
Flemingdon Food Bank, 10 Gateway Blvd. (Basement Floor) Toronto ON,43.71004413254325,-79.3326187033145
Our Lady of Lourdes Food Bank, 275 Bleecker Street Toronto ON,43.669077292547236,-79.37375656098835
St. Bart's Food Bank, 509 Dundas Street East Toronto ON,43.65981450715714,-79.36406401866033
Toronto Council Fire, 439 Dundas Street East Toronto ON,43.65929368474544,-79.36622241866039
Allan Gardens Food Bank, 353 Sherbourne Street Toronto ON,43.663209105262105,-79.37252800331707
Yonge Street Mission, 270 Gerrard Street East Toronto ON,43.66231923919228,-79.36840403215288
Avenue Road Food Bank, 240 Avenue Road Toronto ON,43.68034473830034,-79.39908015991061
Scott Mission, 502 Spadina Ave Toronto ON,43.65877506206389,-79.40077544564573
Fort York Food Bank, 380 College Street West Toronto ON,43.65754749624353,-79.40512667448158
Churches on the Hill, 230 St. Clair Avenue West Toronto ON,43.68687524090667,-79.40550281534308
